file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
F2BJRLP1,0.0,25.309125,mfa_data,-45.81988961872778,-45.883608575362885,3.89793929196005,8.171336574209546
ISLE_SESS0131_BLOCKD02_03_sprt1,0.0,4.5,mfa_data,-43.789722222222224,-53.56877869826097,3.8881896422186926,11.443148868500742
F2BJRLP3,0.0,30.7068125,mfa_data,-45.98870481927711,-46.878421819434976,3.659455927908461,10.329792395517677
F2BJRLP2,0.0,28.6474375,mfa_data,-45.43630017452007,-45.73590952397869,3.609906047959521,7.922912058235026
ISLE_SESS0131_BLOCKD02_01_sprt1,0.0,4.125,mfa_data,-43.196291427058114,-52.34157708974985,2.7237218302666903,11.85118774544399
ISLE_SESS0131_BLOCKD02_02_sprt1,0.0,3.875,mfa_data,-44.81789122905928,-50.888155937194824,2.5633459565624697,12.358243745435463
